"Adres";"Adres za NATem";"Adres NAT";"Opis1";"Opis2";"Opis3";"Opis4";"Opis5"
"172.20.154.112/28";"Nie";"";"NGVM WAN";"";"";"";""
"172.20.223.232/30";"Nie";"";"NT-HLR POZ";"Hand-over for SIGTRAN2";"";"";""
"172.16.12.0/24";"Nie";"";"MIG Kazimierzowska";"";"";"";""
"172.16.13.0/24";"Nie";"";"MIG Kaliska";"";"";"";""
"172.21.14.32/27";"Nie";"";"ngHLR Testbed OneNDS";"";"";"";""
"172.20.14.16/28";"Nie";"";"NT-HLR WARN47 SIGTRAN1";"";"";"";""
"172.20.142.16/28";"Nie";"";"NT-HLR WARN47 SIGTRAN2";"";"";"";""
"172.20.46.0/28";"Nie";"";"ngHLR-KATFRA-SIGTRAN1";"";"";"";""
"172.20.174.0/28";"Nie";"";"ngHLR-KATFRA-SIGTRAN2";"";"";"";""
"172.20.94.0/28";"Nie";"";"ngHLR-POZGLO-SIGTRAN1";"";"";"";""
"172.20.222.0/28";"Nie";"";"ngHLR-POZGLO-SIGTRAN2";"";"";"";""
"172.21.14.64/26";"Nie";"";"ngHLR WARN47 Application";"";"";"";""
"172.21.14.128/27";"Nie";"";"ngHLR WARN47 OneNDS";"";"";"";""
"172.21.94.0/26";"Nie";"";"ngHLR POZGLO Application";"";"";"";""
"172.21.94.64/27";"Nie";"";"ngHLR POZGLO OneNDS";"";"";"";""
"172.21.46.0/26";"Nie";"";"ngHLR KATFRA Application";"";"";"";""
"172.21.46.64/27";"Nie";"";"ngHLR KATFRA OneNDS";"";"";"";""
"10.11.169.128/25";"Nie";"";"SDA Application Network Kasprzaka - SWAP";"";"";"";""
"172.26.253.0/26";"Nie";"";"ngHLR Admin LAN";"";"";"";""
"172.26.253.64/26";"Nie";"";"@Com Admin LAN";"";"";"";""
"172.26.254.0/26";"Nie";"";"ngHLR Admin LAN";"";"";"";""
"172.26.255.0/26";"Nie";"";"ngHLR Admin LAN";"";"";"";""
"172.16.23.112/28";"Nie";"";"";"";"";"";""
"172.16.23.128/28";"Nie";"";"";"";"";"";""
"172.16.23.144/28";"Nie";"";"";"";"";"";""
"172.16.23.160/28";"Nie";"";"";"";"";"";""
"172.16.23.176/28";"Nie";"";"";"";"";"";""
"172.16.23.192/28";"Nie";"";"";"";"";"";""
"172.16.23.208/28";"Nie";"";"";"";"";"";""
"172.16.23.224/28";"Nie";"";"";"";"";"";""
"172.16.23.0/28";"Nie";"";"Gn1";"";"";"";""
"172.16.23.16/28";"Nie";"";"Gn2";"";"";"";""
